country,order_price,cost,date,category,sales_manager,sales_rep,device_type,order_id,profit,month,year
France,60068.71,47688.55,2020-09-05,Other,Othello Bowes,Crysta Halls,PC,99-0862667,12380.159999999996,9,2020
Germany,58416.81,46745.13,2019-07-02,Clothing,Rickard Doogood,Casie MacBain,PC,21-7461655,11671.68,7,2019
Sweden,239423.57,199152.52,2019-08-12,Electronics,Maxie Marrow,Madelon Bront,Mobile,94-1762263,40271.05000000002,8,2019
UK,53801.73,46785.98,2019-09-28,Games,Jessamine Apark,Jay Morefield,PC,16-6855831,7015.75,9,2019
Germany,180519.86,145968.36,2019-04-07,Games,Rickard Doogood,Casie MacBain,PC,86-6107692,34551.5,4,2019
Portugal,100469.75,82566.04,2019-05-17,Electronics,Celine Tumasian,Aurelie Wren,PC,80-2242820,17903.710000000006,5,2019
France,128221.13,102217.88,2020-06-21,Clothing,Othello Bowes,Amelina Piscopiello,PC,21-4033151,26003.25,6,2020
UK,164971.7,132686.74,2019-07-20,Accessories,Jessamine Apark,Winny Agnolo,PC,32-3534634,32284.96000000002,7,2019
Germany,92868.37,79068.13,2020-03-30,Electronics,Rickard Doogood,Casie MacBain,PC,88-8436664,13800.23999999999,3,2020
Bulgaria,145439.65,123710.97,2020-03-10,Smartphones,Charil Alpe,Bernadine Fullagar,PC,06-5566367,21728.679999999993,3,2020
UK,151632.33,120744.82,2020-07-14,Clothing,Jessamine Apark,Winny Agnolo,PC,89-5350599,30887.50999999998,7,2020
Portugal,159514.03,138872.91,2020-09-23,Clothing,Celine Tumasian,Aurelie Wren,PC,37-0756560,20641.119999999995,9,2020
Finland,106115.85,93063.6,2020-02-15,Electronics,Hube Corey,Mellicent Mattys,Tablet,51-4531731,13052.25,2,2020
Germany,86704.08,75380.53,2020-05-10,Books,Rickard Doogood,Casie MacBain,PC,39-3209780,11323.550000000003,5,2020
Finland,48946.74,38765.82,2019-04-19,Accessories,Hube Corey,Mellicent Mattys,PC,65-2022928,10180.919999999998,4,2019
Sweden,54078.92,46102.28,2020-08-11,Books,Maxie Marrow,Anita Woakes,PC,08-7576451,7976.639999999999,8,2020
Italy,26899.97,23198.53,2019-03-19,Games,Piggy Roscrigg,Joshua Prevost,PC,57-2968987,3701.4400000000023,3,2019
France,149500.61,125401.11,2020-07-24,Games,Othello Bowes,Crysta Halls,PC,60-8646184,24099.499999999985,7,2020
France,127946.33,111850.68,2019-09-09,Beauty,Othello Bowes,Crysta Halls,PC,32-3418936,16095.650000000009,9,2019
Portugal,61994.02,54250.97,2019-02-19,Books,Celine Tumasian,Corene Shirer,PC,84-1343954,7743.049999999996,2,2019
Spain,39110.97,34315.97,2019-10-27,Clothing,Emalia Dinse,Perri Aldersley,PC,06-9596696,4795.0,10,2019
Portugal,74532.02,59752.32,2020-02-04,Beauty,Celine Tumasian,Aurelie Wren,PC,14-6700183,14779.700000000004,2,2020
France,60592.4,52363.95,2019-02-22,Accessories,Othello Bowes,Crysta Halls,PC,04-7976277,8228.450000000004,2,2019
Ireland,81358.58,68918.85,2020-08-21,Books,Glenine Suttaby,Palm Wetherald,Mobile,86-2962836,12439.729999999996,8,2020
France,117538.82,100719.02,2019-03-07,Beauty,Othello Bowes,Avrit Chanders,PC,12-1257338,16819.800000000003,3,2019
France,56811.14,48221.3,2019-07-10,Clothing,Othello Bowes,Ora Grennan,PC,03-9337803,8589.839999999997,7,2019
Finland,163967.89,138208.53,2019-05-30,Appliances,Hube Corey,Wat Bowkley,Tablet,28-0849652,25759.360000000015,5,2019
Portugal,159057.92,139923.25,2020-10-24,Smartphones,Celine Tumasian,Brynn Dempster,PC,91-3344544,19134.670000000013,10,2020
Italy,163203.64,140893.7,2019-06-21,Smartphones,Piggy Roscrigg,Joshua Prevost,PC,37-0857161,22309.940000000002,6,2019
Portugal,249099.44,215695.2,2020-06-15,Other,Celine Tumasian,Corene Shirer,PC,88-4621939,33404.23999999999,6,2020
Portugal,108412.76,88594.91,2019-03-08,Smartphones,Celine Tumasian,Corene Shirer,Mobile,52-7280101,19817.84999999999,3,2019
Luxembourg,158362.33,133990.37,2020-08-14,Books,Ilsa Kob,Jocelyn Laurentino,PC,39-1671087,24371.959999999992,8,2020
Portugal,171884.0,146702.99,2019-10-13,Games,Celine Tumasian,Smitty Culverhouse,PC,58-9821508,25181.01000000001,10,2019
Denmark,22164.96,17938.1,2019-03-14,Books,Modestia Byfford,Case Desorts,PC,60-7777080,4226.860000000001,3,2019
Sweden,178304.35,153573.54,2020-09-12,Electronics,Maxie Marrow,Tarrah Castelletti,PC,12-4881666,24730.809999999998,9,2020
Portugal,38494.71,33113.15,2019-04-02,Games,Celine Tumasian,Hortense Gerring,PC,85-6263705,5381.559999999998,4,2019
Portugal,116157.89,97166.07,2019-11-14,Games,Celine Tumasian,Hortense Gerring,PC,23-5766200,18991.819999999992,11,2019
France,56118.05,47711.57,2020-02-03,Beauty,Othello Bowes,Amelina Piscopiello,PC,08-0446109,8406.480000000003,2,2020
UK,161773.31,138283.83,2019-04-30,Books,Jessamine Apark,Jay Morefield,PC,56-6310976,23489.48000000001,4,2019
Portugal,263571.82,216155.25,2020-08-06,Outdoors,Celine Tumasian,Aurelie Wren,PC,11-0955383,47416.57000000001,8,2020
Portugal,41805.53,33352.45,2019-03-23,Appliances,Celine Tumasian,Brynn Dempster,Tablet,27-7169008,8453.080000000002,3,2019
Portugal,93902.04,80793.31,2020-01-03,Clothing,Celine Tumasian,Aurelie Wren,PC,94-3251589,13108.729999999996,1,2020
France,310539.0,248275.93,2020-11-12,Electronics,Othello Bowes,Ora Grennan,PC,57-2495984,62263.07000000001,11,2020
Portugal,82357.57,65474.27,2019-02-19,Books,Celine Tumasian,Aurelie Wren,PC,13-9607758,16883.30000000001,2,2019
France,50585.98,40999.94,2020-08-29,Beauty,Othello Bowes,Maighdiln Upcraft,Tablet,32-1940437,9586.04,8,2020
Finland,33190.03,28397.39,2020-08-18,Electronics,Hube Corey,Wat Bowkley,Tablet,49-2458036,4792.639999999999,8,2020
Bulgaria,78293.94,66236.67,2019-10-13,Appliances,Charil Alpe,Bernadine Fullagar,Mobile,14-1143584,12057.270000000004,10,2019
Portugal,64762.89,54238.92,2019-06-02,Electronics,Celine Tumasian,Hortense Gerring,PC,42-2646312,10523.970000000001,6,2019
France,184221.2,150324.5,2019-06-15,Electronics,Othello Bowes,Amelina Piscopiello,PC,70-3373325,33896.70000000001,6,2019
Spain,134908.19,114388.65,2020-08-18,Clothing,Emalia Dinse,Perri Aldersley,PC,25-2355172,20519.540000000008,8,2020
France,122139.94,103684.6,2019-02-11,Smartphones,Othello Bowes,Ora Grennan,PC,07-3222085,18455.339999999997,2,2019
Ireland,361182.87,288368.4,2019-02-12,Books,Glenine Suttaby,Bunnie Tonbridge,PC,44-1953194,72814.46999999997,2,2019
Sweden,79313.86,63316.25,2020-01-03,Appliances,Maxie Marrow,Madelon Bront,PC,36-3226083,15997.61,1,2020
Sweden,151315.26,121173.26,2019-05-23,Beauty,Maxie Marrow,Caro Morfield,PC,92-2645259,30142.000000000015,5,2019
France,52805.94,43791.97,2020-06-22,Smartphones,Othello Bowes,Amelina Piscopiello,PC,81-2373308,9013.970000000001,6,2020
Portugal,69750.57,60731.82,2019-03-19,Games,Celine Tumasian,Hortense Gerring,PC,92-4695001,9018.750000000007,3,2019
Portugal,228961.3,183764.34,2020-01-06,Appliances,Celine Tumasian,Hortense Gerring,PC,37-8204282,45196.95999999999,1,2020
France,148405.47,128845.63,2019-10-27,Electronics,Othello Bowes,Amelina Piscopiello,PC,82-1082124,19559.839999999997,10,2019
Bulgaria,95960.77,76519.12,2020-11-10,Books,Charil Alpe,Bernadine Fullagar,PC,06-5115020,19441.65000000001,11,2020
Spain,105357.645,190767.27,2019-06-25,Appliances,Emalia Dinse,Bertha Walbrook,Mobile,72-7630507,-85409.62499999999,6,2019
France,83340.04,73264.23,2020-05-18,Clothing,Othello Bowes,Amelina Piscopiello,PC,65-5818172,10075.809999999998,5,2020
Portugal,183363.6,155033.92,2019-06-24,Smartphones,Celine Tumasian,Hortense Gerring,PC,87-6162387,28329.679999999993,6,2019
Portugal,290551.74,239530.86,2020-12-14,Other,Celine Tumasian,Brynn Dempster,PC,53-1660551,51020.880000000005,12,2020
France,80781.62,68971.35,2019-01-19,Smartphones,Othello Bowes,Ora Grennan,Mobile,53-1426071,11810.26999999999,1,2019
France,123672.7,106036.97,2020-11-13,Smartphones,Othello Bowes,Crysta Halls,PC,46-2632808,17635.729999999996,11,2020
Portugal,111639.29,97204.33,2019-10-28,Smartphones,Celine Tumasian,Hortense Gerring,PC,82-4653018,14434.959999999992,10,2019
Netherlands,149956.93,130087.64,2020-08-10,Games,Denice Amberg,Nero Harbisher,PC,66-0265458,19869.289999999994,8,2020
UK,167615.14,135567.12,2020-12-30,Smartphones,Jessamine Apark,Winny Agnolo,PC,16-5450021,32048.02000000002,12,2020
Ireland,84877.87,68454.0,2019-01-12,Electronics,Glenine Suttaby,Bunnie Tonbridge,PC,30-8840089,16423.869999999995,1,2019
Ireland,65831.42,52487.39,2019-12-01,Electronics,Glenine Suttaby,Palm Wetherald,PC,43-5417299,13344.029999999999,12,2019
Ireland,80719.44,64422.19,2019-09-02,Appliances,Glenine Suttaby,Bunnie Tonbridge,PC,59-1230573,16297.25,9,2019
France,146325.53,118333.46,2020-09-08,Games,Othello Bowes,Crysta Halls,PC,95-8015610,27992.069999999992,9,2020
Germany,30177.8,23924.96,2020-06-10,Electronics,Rickard Doogood,Casie MacBain,Mobile,61-4937643,6252.84,6,2020
Ireland,135662.46,116764.68,2020-02-05,Beauty,Glenine Suttaby,Palm Wetherald,PC,33-4102367,18897.78,2,2020
Germany,102918.09,87480.38,2019-10-28,Smartphones,Rickard Doogood,Casie MacBain,PC,88-5343320,15437.709999999992,10,2019
Portugal,138764.6,111414.1,2020-10-05,Appliances,Celine Tumasian,Brynn Dempster,PC,79-6676714,27350.5,10,2020
Sweden,106142.65,88151.47,2019-04-06,Games,Maxie Marrow,Anita Woakes,PC,29-5632797,17991.179999999993,4,2019
Sweden,250315.06,218825.43,2019-08-07,Beauty,Maxie Marrow,Alyosha Meah,PC,36-2366573,31489.630000000005,8,2019
France,162199.24,130878.57,2020-06-22,Appliances,Othello Bowes,Avrit Chanders,PC,75-1807214,31320.669999999984,6,2020
France,186209.44,148818.58,2019-06-24,Clothing,Othello Bowes,Avrit Chanders,Mobile,69-8016438,37390.860000000015,6,2019
Portugal,116774.43,98954.65,2019-04-21,Accessories,Celine Tumasian,Hortense Gerring,Mobile,21-7344983,17819.78,4,2019
Denmark,69017.42,55897.21,2020-02-04,Electronics,Modestia Byfford,Case Desorts,PC,38-3894304,13120.21,2,2020
France,27400.69,22832.99,2019-09-18,Electronics,Othello Bowes,Maighdiln Upcraft,PC,19-8109416,4567.699999999997,9,2019
France,75483.45,60077.28,2019-03-12,Appliances,Othello Bowes,Ora Grennan,PC,26-0092767,15406.169999999998,3,2019
Sweden,89376.84,73646.52,2019-02-17,Beauty,Maxie Marrow,Alyosha Meah,PC,21-2589548,15730.319999999992,2,2019
France,150135.0,131067.85,2020-09-09,Smartphones,Othello Bowes,Avrit Chanders,PC,68-0080728,19067.149999999994,9,2020
Portugal,34930.08,28017.42,2019-01-11,Appliances,Celine Tumasian,Smitty Culverhouse,PC,35-4551515,6912.6600000000035,1,2019
Belgium,122889.28,103042.66,2020-11-27,Smartphones,Lambert Norheny,Collin Mackness,PC,22-5761330,19846.619999999995,11,2020
Sweden,48179.57,41405.52,2020-08-14,Books,Maxie Marrow,Anita Woakes,PC,96-3022721,6774.050000000003,8,2020
Finland,74480.56,60023.88,2020-06-03,Clothing,Hube Corey,Wat Bowkley,PC,31-1849120,14456.68,6,2020
UK,27987.13,24001.76,2019-03-26,Games,Jessamine Apark,Genevra Charrisson,PC,34-3302340,3985.3700000000026,3,2019
Bulgaria,159294.28,130605.38,2020-09-08,Clothing,Charil Alpe,Shermy McGready,PC,37-9761957,28688.899999999994,9,2020
Portugal,37582.13,31967.36,2020-07-05,Appliances,Celine Tumasian,Smitty Culverhouse,Mobile,19-9205287,5614.769999999997,7,2020
Luxembourg,104743.22,83281.33,2019-03-24,Electronics,Ilsa Kob,Jocelyn Laurentino,Mobile,53-0205940,21461.89,3,2019
UK,151012.12,126080.02,2020-08-25,Accessories,Jessamine Apark,Jay Morefield,PC,11-5630090,24932.09999999999,8,2020
Sweden,233858.47,185543.31,2020-02-06,Beauty,Maxie Marrow,Alyosha Meah,PC,66-5572109,48315.16,2,2020
UK,83097.4,68148.18,2019-03-22,Clothing,Jessamine Apark,Jay Morefield,Tablet,36-0185776,14949.220000000001,3,2019
Spain,68745.86,58014.63,2019-09-04,Electronics,Emalia Dinse,Manuel Goudie,PC,11-2988171,10731.230000000003,9,2019
Ireland,99887.86,84045.65,2020-10-03,Electronics,Glenine Suttaby,Bunnie Tonbridge,PC,64-0103144,15842.210000000006,10,2020
France,212521.26,172014.71,2019-06-20,Books,Othello Bowes,Crysta Halls,PC,43-7357498,40506.55000000002,6,2019
Germany,161217.16,135696.48,2019-10-20,Games,Rickard Doogood,Casie MacBain,PC,98-6247105,25520.679999999993,10,2019
Sweden,78542.59,68010.03,2019-05-26,Games,Maxie Marrow,Caro Morfield,PC,02-9523107,10532.559999999998,5,2019
UK,90559.16,75318.05,2019-08-26,Outdoors,Jessamine Apark,Genevra Charrisson,PC,74-6920956,15241.11,8,2019
Sweden,240940.97,195138.09,2019-12-27,Accessories,Maxie Marrow,Tarrah Castelletti,PC,91-4735064,45802.880000000005,12,2019
France,133754.65,106147.69,2020-09-18,Games,Othello Bowes,Ora Grennan,PC,52-3150154,27606.959999999992,9,2020
Sweden,17524.02,14122.61,2020-12-02,Books,Maxie Marrow,Madelon Bront,Mobile,02-3364199,3401.41,12,2020
Sweden,57927.54,48914.01,2019-01-18,Games,Maxie Marrow,Alyosha Meah,Mobile,67-6692861,9013.529999999999,1,2019
Finland,100978.49,86568.86,2019-09-08,Appliances,Hube Corey,Wat Bowkley,PC,00-8086430,14409.630000000005,9,2019
Ireland,36070.76,29339.96,2019-05-17,Other,Glenine Suttaby,Bunnie Tonbridge,Mobile,22-4278602,6730.800000000003,5,2019
Portugal,104711.22,90868.4,2020-08-25,Clothing,Celine Tumasian,Corene Shirer,PC,33-0729966,13842.820000000007,8,2020
Portugal,90994.31,72540.66,2020-09-05,Electronics,Celine Tumasian,Brynn Dempster,PC,09-7835975,18453.649999999994,9,2020
Bulgaria,105277.2,90759.47,2019-11-21,Books,Charil Alpe,Shermy McGready,PC,56-6094665,14517.729999999996,11,2019
Finland,194962.05,154975.33,2020-05-07,Appliances,Hube Corey,Mellicent Mattys,PC,54-5082146,39986.72,5,2020
Portugal,85515.6,67959.25,2019-10-13,Games,Celine Tumasian,Brynn Dempster,PC,05-0243828,17556.350000000006,10,2019
France,84035.82,71329.6,2020-10-27,Books,Othello Bowes,Maighdiln Upcraft,Tablet,30-9025281,12706.220000000001,10,2020
Sweden,93996.68,77171.27,2020-10-10,Games,Maxie Marrow,Alyosha Meah,Mobile,75-0683725,16825.40999999999,10,2020
France,31161.76,27300.82,2020-09-05,Beauty,Othello Bowes,Maighdiln Upcraft,Mobile,06-4986886,3860.9399999999987,9,2020
Luxembourg,148359.68,118480.04,2020-07-23,Games,Ilsa Kob,Jocelyn Laurentino,PC,45-1867999,29879.64,7,2020
Sweden,71119.23,59220.98,2019-09-03,Books,Maxie Marrow,Alyosha Meah,PC,52-5981325,11898.249999999993,9,2019
Portugal,141965.11,119193.91,2019-09-18,Beauty,Celine Tumasian,Hortense Gerring,PC,56-2408571,22771.199999999983,9,2019
Finland,127994.87,105800.56,2020-01-09,Books,Hube Corey,Mellicent Mattys,PC,73-2763209,22194.309999999998,1,2020
Portugal,106325.72,92705.4,2019-09-19,Games,Celine Tumasian,Aurelie Wren,Mobile,77-5229094,13620.320000000007,9,2019
Sweden,78679.6,62416.53,2019-12-10,Games,Maxie Marrow,Tarrah Castelletti,PC,10-1511807,16263.070000000007,12,2019
Bulgaria,37073.91,30274.55,2019-04-26,Books,Charil Alpe,Bernadine Fullagar,Tablet,15-9091881,6799.360000000004,4,2019
France,108968.67,88395.39,2019-10-17,Books,Othello Bowes,Ora Grennan,PC,08-4398900,20573.28,10,2019
Spain,174262.11,143278.31,2019-05-04,Games,Emalia Dinse,Perri Aldersley,PC,47-0713476,30983.79999999999,5,2019
Denmark,47516.54,38987.32,2020-09-01,Books,Modestia Byfford,Cobby Andersen,PC,51-1141675,8529.220000000001,9,2020
Luxembourg,61374.06,49099.25,2020-02-20,Games,Ilsa Kob,Jocelyn Laurentino,PC,07-5296371,12274.809999999998,2,2020
Portugal,83904.32,69011.3,2020-07-06,Games,Celine Tumasian,Corene Shirer,PC,00-7326184,14893.020000000004,7,2020
Portugal,120152.33,97527.65,2019-09-29,Outdoors,Celine Tumasian,Smitty Culverhouse,PC,55-1904761,22624.680000000008,9,2019
Netherlands,60917.85,52736.58,2019-02-17,Smartphones,Denice Amberg,Nero Harbisher,PC,15-3241183,8181.269999999997,2,2019
Sweden,170457.8,142809.54,2020-08-14,Accessories,Maxie Marrow,Anita Woakes,PC,60-1991659,27648.25999999998,8,2020
Ireland,88684.7,75337.65,2020-01-23,Other,Glenine Suttaby,Palm Wetherald,PC,12-2375671,13347.050000000003,1,2020
Spain,120012.56,97762.23,2020-11-05,Games,Emalia Dinse,Bertha Walbrook,Mobile,62-9738356,22250.33,11,2020
France,118027.37,96050.67,2019-06-04,Beauty,Othello Bowes,Ora Grennan,PC,77-3656041,21976.699999999997,6,2019
UK,141552.4,122994.88,2019-09-17,Beauty,Jessamine Apark,Winny Agnolo,PC,59-0893568,18557.51999999999,9,2019
Sweden,67161.99,55764.6,2019-09-20,Electronics,Maxie Marrow,Tarrah Castelletti,PC,22-7587128,11397.390000000007,9,2019
Germany,250483.63,217269.5,2020-03-07,Accessories,Rickard Doogood,Casie MacBain,Mobile,48-2124998,33214.130000000005,3,2020
France,26103.94,22339.75,2020-08-31,Appliances,Othello Bowes,Ora Grennan,Tablet,89-0187996,3764.1899999999987,8,2020
Sweden,98322.98,84872.4,2020-09-10,Clothing,Maxie Marrow,Tarrah Castelletti,PC,32-9344186,13450.580000000002,9,2020
Portugal,104391.93,86770.57,2020-04-01,Beauty,Celine Tumasian,Brynn Dempster,PC,34-8182639,17621.359999999986,4,2020
France,91540.03,74916.36,2019-09-09,Clothing,Othello Bowes,Ora Grennan,PC,38-6130023,16623.67,9,2019
Portugal,78057.96,67161.07,2020-11-29,Beauty,Celine Tumasian,Hortense Gerring,Tablet,30-7149594,10896.89,11,2020
Netherlands,77896.83,62714.74,2020-03-13,Clothing,Denice Amberg,Nero Harbisher,PC,75-7443241,15182.090000000004,3,2020
Portugal,141796.75,112317.21,2020-09-16,Games,Celine Tumasian,Corene Shirer,PC,16-8778373,29479.539999999994,9,2020
Portugal,201537.12,166127.05,2020-10-06,Outdoors,Celine Tumasian,Brynn Dempster,PC,20-7532198,35410.07000000001,10,2020
UK,125099.05,108473.39,2020-05-03,Books,Jessamine Apark,Genevra Charrisson,PC,30-7981953,16625.660000000003,5,2020
Luxembourg,26490.47,21168.53,2019-04-11,Appliances,Ilsa Kob,Jocelyn Laurentino,PC,62-1694462,5321.940000000002,4,2019
Luxembourg,160185.99,130487.51,2020-09-27,Accessories,Ilsa Kob,Jocelyn Laurentino,PC,98-3033030,29698.479999999996,9,2020
Portugal,87459.79,69967.83,2020-11-16,Beauty,Celine Tumasian,Brynn Dempster,Mobile,09-8360520,17491.959999999992,11,2020
France,29443.71,23958.35,2020-10-29,Appliances,Othello Bowes,Ora Grennan,PC,03-2027170,5485.360000000001,10,2020
Portugal,151151.77,124035.14,2019-12-30,Appliances,Celine Tumasian,Aurelie Wren,PC,80-3039005,27116.62999999999,12,2019
France,155044.02,134268.12,2019-10-25,Beauty,Othello Bowes,Amelina Piscopiello,PC,46-0270404,20775.899999999994,10,2019
Sweden,57227.99,46331.78,2019-03-28,Appliances,Maxie Marrow,Alyosha Meah,PC,92-7234550,10896.21,3,2019
Sweden,249842.77,218737.35,2020-09-07,Books,Maxie Marrow,Alyosha Meah,PC,39-5542863,31105.419999999984,9,2020
Italy,109390.57,87414.0,2020-12-11,Other,Piggy Roscrigg,Joshua Prevost,Mobile,90-2530115,21976.570000000007,12,2020
Sweden,120763.23,96719.27,2020-04-14,Clothing,Maxie Marrow,Anita Woakes,PC,79-6623911,24043.959999999992,4,2020
Finland,177464.83,142717.22,2020-01-25,Outdoors,Hube Corey,Mellicent Mattys,PC,97-5797169,34747.609999999986,1,2020
Sweden,251587.2,201848.41,2019-06-14,Smartphones,Maxie Marrow,Alyosha Meah,Mobile,49-2256360,49738.79000000001,6,2019
Netherlands,62567.58,49916.42,2019-04-21,Clothing,Denice Amberg,Nero Harbisher,PC,40-7356336,12651.160000000003,4,2019
France,234340.31,204438.49,2020-12-13,Clothing,Othello Bowes,Avrit Chanders,PC,70-0364033,29901.820000000007,12,2020
Sweden,148243.05,120566.07,2020-07-12,Beauty,Maxie Marrow,Madelon Bront,PC,54-7503816,27676.97999999998,7,2020
Sweden,90602.07,71630.0,2020-05-03,Electronics,Maxie Marrow,Tarrah Castelletti,PC,09-3747816,18972.070000000007,5,2020
Sweden,36181.81,29698.03,2020-10-27,Appliances,Maxie Marrow,Madelon Bront,Tablet,82-8836162,6483.779999999999,10,2020
Sweden,81262.34,65326.8,2019-06-09,Books,Maxie Marrow,Anita Woakes,Mobile,75-9517276,15935.539999999994,6,2019
Portugal,121736.23,106214.86,2020-06-05,Accessories,Celine Tumasian,Smitty Culverhouse,PC,95-4271285,15521.369999999995,6,2020
Sweden,131839.16,115372.45,2020-04-27,Books,Maxie Marrow,Madelon Bront,PC,73-8632957,16466.710000000006,4,2020
Luxembourg,47182.43,40576.89,2020-02-21,Smartphones,Ilsa Kob,Jocelyn Laurentino,PC,82-0533747,6605.540000000001,2,2020
Portugal,36321.68,31581.7,2020-10-29,Books,Celine Tumasian,Smitty Culverhouse,PC,72-2647440,4739.98,10,2020
Sweden,82116.31,70652.87,2020-05-30,Beauty,Maxie Marrow,Caro Morfield,Tablet,01-8080546,11463.440000000002,5,2020
Portugal,77087.84,65894.69,2020-05-17,Other,Celine Tumasian,Aurelie Wren,PC,51-5334556,11193.149999999994,5,2020
Sweden,94115.99,75669.26,2019-09-16,Appliances,Maxie Marrow,Tarrah Castelletti,PC,93-2085046,18446.73000000001,9,2019
UK,60301.96,48820.47,2019-08-02,Beauty,Jessamine Apark,Jay Morefield,PC,75-1785229,11481.489999999998,8,2019
Portugal,66146.57,56145.21,2020-07-04,Electronics,Celine Tumasian,Brynn Dempster,PC,04-1808253,10001.360000000008,7,2020
Portugal,134120.38,105981.92,2020-04-30,Games,Celine Tumasian,Brynn Dempster,PC,63-4386955,28138.460000000006,4,2020
UK,137306.45,108732.98,2020-04-09,Books,Jessamine Apark,Winny Agnolo,PC,00-1210718,28573.470000000016,4,2020
Sweden,132632.97,112035.07,2019-04-23,Electronics,Maxie Marrow,Anita Woakes,PC,05-5082715,20597.899999999994,4,2019
Netherlands,73981.77,61959.73,2019-11-18,Clothing,Denice Amberg,Nero Harbisher,PC,73-9492768,12022.04,11,2019
Finland,93007.22,81837.05,2020-09-11,Outdoors,Hube Corey,Wat Bowkley,PC,24-8477374,11170.169999999998,9,2020
